date,1. open,2. high,3. low,4. close,5. volume
2020-03-13 16:00:00,533.711,546.2,533.44,546.2,187617.0
2020-03-13 15:59:00,535.04,535.04,535.04,535.04,118037.0
2020-03-13 15:58:00,532.66,535.02,532.237,534.33,94231.0
2020-03-13 15:57:00,537.36,537.36,531.0,531.33,127699.0
2020-03-13 15:56:00,538.77,539.74,536.8,537.435,61630.0
2020-03-13 15:55:00,538.98,541.0,538.45,538.9905,92918.0
2020-03-13 15:54:00,537.58,539.0,536.3945,538.4275,52354.0
2020-03-13 15:53:00,537.64,539.54,537.2,537.87,59499.0
2020-03-13 15:52:00,536.0,537.74,535.25,537.395,47011.0
2020-03-13 15:51:00,534.3,536.86,533.93,536.135,57606.0
2020-03-13 15:50:00,534.14,534.88,532.2001,534.04,40233.0
2020-03-13 15:49:00,534.6669,534.6669,533.3601,533.56,166418.0
2020-03-13 15:47:00,534.845,535.0,533.13,533.7303,17926.0
2020-03-13 15:46:00,531.81,536.3307,531.1903,535.097,69429.0
2020-03-13 15:45:00,527.13,533.24,526.539,531.6385,64084.0
2020-03-13 15:44:00,526.62,528.55,525.6858,526.7405,62244.0
2020-03-13 15:43:00,522.678,526.98,522.01,526.23,72567.0
2020-03-13 15:42:00,521.84,523.01,520.94,522.5948,29937.0
2020-03-13 15:41:00,521.03,522.64,519.8219,522.48,29435.0
2020-03-13 15:40:00,521.54,521.54,521.54,521.54,30330.0
2020-03-13 15:39:00,519.4985,523.05,519.4985,523.05,53033.0
2020-03-13 15:38:00,519.17,520.0,518.55,519.06,22001.0
2020-03-13 15:37:00,520.301,520.47,518.0,519.9999,41897.0
2020-03-13 15:36:00,520.39,521.07,519.13,520.31,40138.0
2020-03-13 15:35:00,519.265,522.77,518.0,520.72,54469.0
2020-03-13 15:34:00,522.83,523.8241,519.0,519.0,59689.0
2020-03-13 15:33:00,521.41,523.86,521.4,523.0,29052.0
2020-03-13 15:32:00,526.7158,526.93,522.0,522.0,35284.0
2020-03-13 15:31:00,527.55,527.86,526.01,526.51,23550.0
2020-03-13 15:30:00,527.4,528.98,526.1301,527.855,35886.0
2020-03-13 15:29:00,524.07,527.53,523.72,527.4366,36288.0
2020-03-13 15:28:00,524.74,525.0,524.0002,524.4744,22832.0
2020-03-13 15:27:00,523.82,525.0,523.82,524.65,17752.0
2020-03-13 15:26:00,522.51,524.8,522.36,523.755,14690.0
2020-03-13 15:25:00,523.65,524.245,522.34,522.82,15856.0
2020-03-13 15:24:00,523.1932,523.86,521.6409,523.595,18654.0
2020-03-13 15:23:00,523.9898,524.06,522.2,522.45,14317.0
2020-03-13 15:22:00,523.706,524.9146,522.21,524.17,36878.0
2020-03-13 15:21:00,523.695,524.3834,522.9981,524.25,9910.0
2020-03-13 15:20:00,523.6281,524.01,522.03,523.435,21868.0
2020-03-13 15:19:00,524.0,525.0,523.0201,523.89,16980.0
2020-03-13 15:18:00,525.194,525.275,523.5,524.275,22853.0
2020-03-13 15:17:00,525.23,525.85,523.83,525.0,22235.0
2020-03-13 15:16:00,523.26,525.5907,522.94,524.53,26814.0
2020-03-13 15:15:00,519.4,523.99,519.11,523.05,39695.0
2020-03-13 15:14:00,520.01,520.01,518.17,519.425,31970.0
2020-03-13 15:13:00,522.0,522.403,520.0,520.0,46160.0
2020-03-13 15:12:00,524.1155,524.6349,522.0,522.01,20915.0
2020-03-13 15:11:00,523.86,524.1734,523.0,523.63,118388.0
2020-03-13 15:06:00,526.72,527.8,526.72,527.3496,6454.0
2020-03-13 15:05:00,525.62,527.48,524.2807,526.06,14276.0
2020-03-13 15:04:00,524.88,526.9688,524.0001,525.01,16594.0
2020-03-13 15:03:00,527.99,528.28,524.58,524.88,21577.0
2020-03-13 15:02:00,528.85,530.12,525.26,528.3172,46240.0
2020-03-13 15:01:00,525.73,529.39,525.15,528.95,37077.0
2020-03-13 15:00:00,525.71,526.84,525.38,526.03,21194.0
2020-03-13 14:59:00,525.3724,525.97,524.6,525.97,11679.0
2020-03-13 14:58:00,524.89,525.51,524.515,525.215,35598.0
2020-03-13 14:56:00,524.21,525.0,524.2,525.0,44636.0
2020-03-13 14:55:00,524.3163,525.0,523.15,524.51,12088.0
2020-03-13 14:54:00,525.0,525.9965,523.0,524.44,27052.0
2020-03-13 14:53:00,525.26,525.4267,524.0967,525.4267,17252.0
2020-03-13 14:52:00,523.3399,524.83,522.51,524.81,14682.0
2020-03-13 14:51:00,523.309,523.66,522.13,523.2157,13962.0
2020-03-13 14:50:00,522.61,523.78,522.04,523.39,15829.0
2020-03-13 14:49:00,525.32,525.32,522.0,522.1627,28402.0
2020-03-13 14:48:00,525.6791,527.27,525.32,525.3201,17024.0
2020-03-13 14:47:00,525.05,526.29,524.5,526.0308,21218.0
2020-03-13 14:46:00,526.05,526.28,524.1323,525.6882,29330.0
2020-03-13 14:45:00,523.98,528.0499,523.3145,525.8181,40703.0
2020-03-13 14:44:00,520.99,524.04,520.93,523.9373,32957.0
2020-03-13 14:43:00,519.99,521.525,518.41,520.99,26542.0
2020-03-13 14:42:00,518.94,520.3,518.0,520.21,32930.0
2020-03-13 14:41:00,518.28,519.0,517.56,518.67,21954.0
2020-03-13 14:40:00,518.99,520.0,518.1,518.23,19569.0
2020-03-13 14:39:00,518.065,519.5,516.89,519.1874,17459.0
2020-03-13 14:38:00,518.675,519.4074,516.72,518.47,36310.0
2020-03-13 14:37:00,521.504,522.5597,518.25,518.9079,24116.0
2020-03-13 14:36:00,522.37,523.5,521.8275,522.43,20730.0
2020-03-13 14:35:00,519.41,522.77,519.41,522.33,24004.0
2020-03-13 14:34:00,518.42,521.0,518.0,519.183,33547.0
2020-03-13 14:33:00,520.02,520.02,518.0,518.56,46457.0
2020-03-13 14:32:00,522.14,522.14,520.0,520.255,15781.0
2020-03-13 14:31:00,520.36,522.9352,520.03,521.8434,34317.0
2020-03-13 14:30:00,525.7657,526.3508,520.0,520.03,54129.0
2020-03-13 14:29:00,525.19,526.744,524.23,525.6598,11499.0
2020-03-13 14:28:00,526.05,526.29,524.22,525.4552,85964.0
2020-03-13 14:27:00,525.0043,526.27,525.0043,525.99,130481.0
2020-03-13 14:26:00,526.27,527.0502,524.23,524.43,22443.0
2020-03-13 14:25:00,524.58,527.47,524.1601,526.18,28192.0
2020-03-13 14:24:00,525.24,525.4294,523.16,524.4677,20523.0
2020-03-13 14:23:00,525.475,525.485,523.41,525.0,32626.0
2020-03-13 14:22:00,527.765,527.88,525.2,525.4015,24140.0
2020-03-13 14:21:00,527.03,528.971,527.03,527.8404,14835.0
2020-03-13 14:20:00,530.12,530.5001,527.0,527.985,19118.0
2020-03-13 14:19:00,529.5501,531.37,529.5501,530.01,13252.0
2020-03-13 14:18:00,530.51,530.9899,529.21,529.5502,11918.0
2020-03-13 14:17:00,530.8,532.1,530.14,530.69,25564.0
2020-03-13 14:16:00,529.8299,531.99,529.282,531.0,18581.0
2020-03-13 14:15:00,530.01,530.01,529.0,529.53,9606.0
2020-03-13 14:14:00,529.21,530.61,528.98,529.52,11497.0
2020-03-13 14:13:00,529.3683,531.3754,529.0,529.03,22209.0
2020-03-13 14:12:00,529.3443,530.79,528.98,529.74,14281.0
2020-03-13 14:11:00,530.47,531.0,527.77,529.43,41216.0
2020-03-13 14:10:00,530.12,531.5832,529.0,530.5561,51270.0
2020-03-13 14:09:00,534.37,534.43,529.16,529.6,46410.0
2020-03-13 14:08:00,535.545,535.545,534.0101,534.42,26797.0
2020-03-13 14:07:00,537.135,537.385,535.0001,535.502,43244.0
2020-03-13 14:06:00,534.5108,537.07,534.5108,536.725,39856.0
2020-03-13 14:05:00,534.49,535.48,534.0217,534.725,28376.0
2020-03-13 14:04:00,532.935,535.0,532.45,534.5,29080.0
2020-03-13 14:03:00,532.5737,533.5,532.32,532.92,30074.0
2020-03-13 14:02:00,532.27,533.49,532.07,532.56,28889.0
2020-03-13 14:01:00,534.655,535.08,532.0701,532.3225,35001.0
2020-03-13 14:00:00,534.5,535.55,534.37,535.13,23017.0
2020-03-13 13:59:00,534.3216,535.355,533.49,534.47,26745.0
2020-03-13 13:58:00,531.42,535.26,531.0,533.9407,42255.0
2020-03-13 13:57:00,532.3,532.57,531.36,531.56,26030.0
2020-03-13 13:56:00,536.39,536.39,531.33,532.2773,50276.0
2020-03-13 13:55:00,538.98,539.13,536.16,536.3682,33493.0
2020-03-13 13:54:00,539.19,539.68,538.01,538.9797,19499.0
2020-03-13 13:53:00,539.403,540.74,538.3437,538.6,24428.0
2020-03-13 13:52:00,540.7859,540.99,538.23,539.4925,163447.0
2020-03-13 13:49:00,538.01,538.31,537.2601,537.4813,93139.0
2020-03-13 13:47:00,537.011,537.525,536.9,537.2162,7981.0
2020-03-13 13:46:00,536.26,537.39,535.4,537.2711,30710.0
2020-03-13 13:45:00,535.55,536.5962,534.79,535.94,19341.0
2020-03-13 13:44:00,535.36,535.7,534.285,535.3824,21231.0
